Player Name,College,Draft Year,Draft Round,Draft Pick,Team,Height (in),Weight (lbs),Age at Draft,Forty Yard,Vertical (in),Broad Jump (in),Cone,Shuttle,Bench Press,BMI,College Games,College Receptions,College Rec Yards,College Rec TDs,College Yards Per Rec,College Yards Per Game,College TDs Per Game,Breakout Age,Dominator Rating,Target Share,Model Predicted AV,NFL Games Played,NFL Receptions,NFL Rec Yards,NFL Rec TDs,NFL Targets,NFL Catch Rate,NFL Yards Per Target,NFL First Downs,NFL YAC,NFL Drops,Season AV,Notes
Jeremiah Smith,Ohio State,2026,1,,,,73,200,19,,,,,,,,13,70,1227,14,17.5,94.4,1.08,18.0,42.5,32.1,,,0,0,0,0,0.0,0.0,0,0,0,,Generational freshman - elite after catch
Ryan Williams,Alabama,2026,1,,,,72,185,19,,,,,,,,13,55,865,10,15.7,66.5,0.77,18.1,38.2,28.5,,,0,0,0,0,0.0,0.0,0,0,0,,True freshman breakout at Alabama
Carnell Tate,Ohio State,2026,1,,,,74,190,20,,,,,,,,26,45,680,6,15.1,26.2,0.23,19.2,24.5,18.9,,,0,0,0,0,0.0,0.0,0,0,0,,5-star developing behind Smith
Johntay Cook II,Texas,2026,2,,,,72,180,20,,,,,,,,24,48,725,5,15.1,30.2,0.21,18.8,22.4,17.8,,,0,0,0,0,0.0,0.0,0,0,0,,Speed and explosiveness
Jalen Hale,Texas,2026,2,,,,74,195,20,,,,,,,,26,42,615,4,14.6,23.7,0.15,19.0,20.8,16.5,,,0,0,0,0,0.0,0.0,0,0,0,,Physical tools developing
Cam Coleman,Auburn,2026,2,,,,75,205,19,,,,,,,,12,38,580,5,15.3,48.3,0.42,18.5,28.6,22.1,,,0,0,0,0,0.0,0.0,0,0,0,,True freshman with upside
Perry Thompson,Alabama,2026,2,,,,73,190,20,,,,,,,,24,52,780,6,15.0,32.5,0.25,19.1,23.2,18.4,,,0,0,0,0,0.0,0.0,0,0,0,,Emerging in Alabama offense
Kaleb Smith,Ohio State,2026,3,,,,76,215,21,,,,,,,,22,35,520,4,14.9,23.6,0.18,20.5,18.4,14.2,,,0,0,0,0,0.0,0.0,0,0,0,,Transfer with size
Micah Hudson,Texas Tech,2026,2,,,,70,175,19,,,,,,,,12,48,695,6,14.5,57.9,0.50,18.2,32.5,25.8,,,0,0,0,0,0.0,0.0,0,0,0,,Dynamic true freshman
Derek Meadows,Oregon,2026,3,,,,73,195,20,,,,,,,,24,55,780,5,14.2,32.5,0.21,19.4,22.8,17.6,,,0,0,0,0,0.0,0.0,0,0,0,,Developing in Oregon system
Zachariah Branch,USC,2026,2,,,,69,175,20,,,,,,,,24,62,845,5,13.6,35.2,0.21,18.6,26.4,20.5,,,0,0,0,0,0.0,0.0,0,0,0,,Elite speed and return ability
Hykeem Williams,Florida State,2026,3,,,,76,210,20,,,,,,,,22,38,545,4,14.3,24.8,0.18,19.5,21.2,16.8,,,0,0,0,0,0.0,0.0,0,0,0,,Big frame needs development
Mazeo Bennett Jr.,Michigan,2026,3,,,,72,185,20,,,,,,,,24,45,625,4,13.9,26.0,0.17,19.2,20.5,15.8,,,0,0,0,0,0.0,0.0,0,0,0,,Slot receiver with quickness
Jayden Gibson,Florida,2026,3,,,,77,215,21,,,,,,,,26,48,685,5,14.3,26.3,0.19,20.1,19.8,15.2,,,0,0,0,0,0.0,0.0,0,0,0,,Size and speed combination
Zelus Hicks,LSU,2026,4,,,,74,195,20,,,,,,,,22,42,595,4,14.2,27.0,0.18,19.3,20.2,15.6,,,0,0,0,0,0.0,0.0,0,0,0,,Developing in LSU system
Raymond Cottrell,Georgia,2026,4,,,,75,220,21,,,,,,,,24,35,485,3,13.9,20.2,0.13,20.2,18.5,14.1,,,0,0,0,0,0.0,0.0,0,0,0,,Physical run-after-catch ability
Cole Adams,Oklahoma,2026,4,,,,71,180,21,,,,,,,,28,58,785,5,13.5,28.0,0.18,19.8,21.4,16.5,,,0,0,0,0,0.0,0.0,0,0,0,,Reliable slot target
David Washington,Arizona State,2026,4,,,,72,188,20,,,,,,,,24,52,720,4,13.8,30.0,0.17,19.4,20.8,16.2,,,0,0,0,0,0.0,0.0,0,0,0,,Emerging in new offense
Ja'Marr Royals,Penn State,2026,5,,,,73,195,21,,,,,,,,26,48,665,4,13.9,25.6,0.15,19.6,19.2,14.8,,,0,0,0,0,0.0,0.0,0,0,0,,Solid all-around receiver
Devin Hyatt,Tennessee,2026,5,,,,74,200,21,,,,,,,,28,55,745,5,13.5,26.6,0.18,19.8,20.5,15.8,,,0,0,0,0,0.0,0.0,0,0,0,,Younger brother of Jalin
