Player,College,Height,Weight,College_Rec,College_Yards,College_TDs,YPG,Scenario,Draft_Round,RF_Pred_AV,XGB_Pred_AV,Avg_Pred_AV,Production_Score
Danny Scudero,San José State,69.0,174.0,85.0,1189.0,17.0,99.1,Round 1 (Elite Picks 1-32),1,8.1,4.1,6.1,120.94
Skyler Bell,UConn,72.0,185.0,93.0,1130.0,16.0,94.2,Round 1 (Elite Picks 1-32),1,27.3,24.8,26.1,118.30000000000001
Jeremiah Smith,Ohio State,75.0,223.0,82.0,1171.0,17.0,90.1,Round 1 (Elite Picks 1-32),1,7.0,4.5,5.8,115.36
Makai Lemon,USC,71.0,195.0,74.0,1110.0,16.0,92.5,Round 1 (Elite Picks 1-32),1,16.5,5.3,10.9,111.55
Eric McAlister,TCU,75.0,205.0,66.0,1097.0,16.0,91.4,Round 1 (Elite Picks 1-32),1,30.3,24.1,27.2,108.47
Chase Hendricks,Ohio,72.0,200.0,73.0,1081.0,15.0,90.1,Round 1 (Elite Picks 1-32),1,8.8,6.1,7.4,107.75999999999999
KJ Duff,Rutgers,78.0,220.0,61.0,1102.0,16.0,91.8,Round 1 (Elite Picks 1-32),1,6.4,4.0,5.2,107.22
Jacob De Jesus,California,67.0,170.0,102.0,965.0,14.0,74.2,Round 1 (Elite Picks 1-32),1,7.7,4.1,5.9,105.35
Easton Messer,Florida Atlantic,69.0,190.0,89.0,955.0,14.0,79.6,Round 1 (Elite Picks 1-32),1,10.4,5.6,8.0,104.05
Lewis Bond,Boston College,71.0,190.0,85.0,977.0,14.0,81.4,Round 1 (Elite Picks 1-32),1,25.2,24.8,25.0,103.97
Beau Sparks,Texas State,71.0,175.0,81.0,1025.0,15.0,78.8,Round 1 (Elite Picks 1-32),1,8.2,4.1,6.2,103.94999999999999
Wyatt Young,North Texas,72.0,195.0,67.0,1103.0,16.0,78.8,Round 1 (Elite Picks 1-32),1,7.5,4.1,5.8,102.53
Ted Hurst,Georgia State,75.0,185.0,66.0,949.0,14.0,86.3,Round 1 (Elite Picks 1-32),1,6.9,4.1,5.5,100.44
Chris Bell,Louisville,74.0,220.0,72.0,924.0,13.0,84.0,Round 1 (Elite Picks 1-32),1,11.8,5.3,8.6,98.84
Malachi Toney,Miami,71.0,,91.0,965.0,14.0,64.3,Round 1 (Elite Picks 1-32),1,6.5,4.0,5.3,97.1
Chris Brazzell II,Tennessee,77.0,200.0,61.0,968.0,14.0,80.7,Round 1 (Elite Picks 1-32),1,7.1,4.1,5.6,96.33000000000001
Cooper Barkate,Duke,73.0,195.0,69.0,1007.0,14.0,71.9,Round 1 (Elite Picks 1-32),1,17.7,5.3,11.5,94.72
Duce Robinson,Florida State,78.0,222.0,51.0,991.0,14.0,82.6,Round 1 (Elite Picks 1-32),1,17.0,5.3,11.2,94.50999999999999
Junior Vandeross III,Toledo,68.0,182.0,78.0,921.0,13.0,70.8,Round 1 (Elite Picks 1-32),1,16.3,5.3,10.8,94.00999999999999
